Id,Nombres,Apellidos,Edad,Nota 1,% Nota 1,Nota 2,% Nota 2,Nota 3,% Nota 3,Nota 4,% Nota 4,Nota 5,% Nota 5
85832049874,Sofía María,Sánchez González,22,"4,3",10%,1,20%,"2,8",30%,"1,5",20%,1,20%
34645094842,Ana,Gómez Martínez,25,"1,7",10%,"0,8",20%,4,30%,"4,8",20%,"1,8",20%
58715253339,Valentina María,Sánchez Gómez,23,"3,8",10%,"4,9",20%,"2,1",30%,"4,6",20%,"1,2",20%
50228911466,Diego,Hernández García,23,"1,4",10%,"1,4",20%,"4,6",30%,"1,5",20%,"3,4",20%
59716928908,Sofía,Sánchez Fernández,19,"3,3",10%,3,20%,"4,1",30%,"2,1",20%,"4,4",20%
54474089307,Lucía,García López,28,"3,4",10%,0,20%,"0,2",30%,"1,8",20%,"3,5",20%
37030480921,Carlos Pedro,Sánchez García,18,"4,5",10%,"2,4",20%,"2,1",30%,"4,2",20%,"3,9",20%
72623618629,Lucía,Martínez Gómez,26,"2,7",10%,"2,8",20%,"0,9",30%,5,20%,"1,2",20%
39799510120,Sofía Pedro,Fernández Hernández,28,0,10%,"4,5",20%,"4,8",30%,"1,2",20%,"3,8",20%
09907144456,Valentina Juan,González Sánchez,24,4,10%,"3,1",20%,"2,1",30%,"1,9",20%,"4,8",20%
73850120651,Pedro,Hernández Sánchez,21,"2,8",10%,"1,1",20%,"3,4",30%,"2,3",20%,"0,7",20%
79074670879,Valentina Sofía,Hernández Rodríguez,23,"4,7",10%,"0,6",20%,0,30%,"0,5",20%,"3,4",20%
90596524996,Valentina Luis,Fernández Gómez,21,"4,4",10%,"2,3",20%,"2,3",30%,"3,6",20%,"2,7",20%
50724702020,Ana María,García González,20,"3,7",10%,0,20%,"4,9",30%,"2,1",20%,"0,4",20%
12202152779,Ana,Hernández Hernández,24,"1,6",10%,"1,3",20%,"0,9",30%,"4,3",20%,"0,7",20%
41954150060,Carlos Valentina,López Fernández,27,"0,9",10%,3,20%,5,30%,"0,8",20%,"2,2",20%
88077968719,Carlos,Rodríguez González,26,"0,7",10%,"4,3",20%,"4,6",30%,"3,1",20%,"1,9",20%
66672831438,Luis Valentina,González García,19,"1,8",10%,4,20%,"3,6",30%,"2,4",20%,"3,6",20%
58914148147,Diego,González García,18,"1,3",10%,"3,7",20%,"2,6",30%,"3,5",20%,"1,4",20%
57967062186,Lucía Sofía,Hernández Fernández,22,"4,1",10%,"0,2",20%,4,30%,"3,9",20%,"0,7",20%
06455944191,Carlos Carlos,González Rodríguez,26,"3,3",10%,"0,7",20%,4,30%,"1,9",20%,"1,1",20%
20149220389,Pedro Ana,Sánchez Hernández,28,5,10%,"1,9",20%,"4,4",30%,"1,8",20%,"4,3",20%
32422985379,Diego,Rodríguez López,28,"3,4",10%,"2,9",20%,"4,8",30%,"3,5",20%,"2,8",20%
44253015730,Sofía,Rodríguez Gómez,18,"0,2",10%,"2,2",20%,"0,3",30%,"0,4",20%,"0,7",20%
14499377679,Ana,González Gómez,24,"4,3",10%,"1,2",20%,5,30%,5,20%,"3,7",20%
50323163293,Juan,Hernández Rodríguez,18,"0,4",10%,"2,7",20%,4,30%,"4,4",20%,0,20%
46486047512,Sofía,Pérez Martínez,26,"1,8",10%,"3,6",20%,"4,4",30%,1,20%,"1,5",20%
65639518110,Sofía Sofía,López González,19,2,10%,"0,4",20%,"3,4",30%,"0,2",20%,"2,1",20%
25620441938,María,Rodríguez Gómez,20,"2,8",10%,"4,5",20%,"3,5",30%,"4,4",20%,"3,9",20%
67692650547,María,Hernández Gómez,21,1,10%,"3,9",20%,"4,1",30%,"4,3",20%,"2,1",20%
59456675554,Diego Carlos,González Gómez,26,"4,8",10%,"3,8",20%,"1,5",30%,"2,3",20%,"4,9",20%
91536890493,Luis Sofía,González Hernández,20,"3,5",10%,"2,4",20%,"4,3",30%,"4,2",20%,"0,8",20%
54212551755,Lucía,Rodríguez López,26,"2,9",10%,3,20%,"2,3",30%,"3,2",20%,"4,9",20%
09893103825,Diego Pedro,Pérez Fernández,18,"4,9",10%,"1,6",20%,"1,5",30%,0,20%,"0,2",20%
97470118163,Luis,Sánchez Fernández,28,"4,5",10%,"0,3",20%,"0,9",30%,"4,2",20%,"2,5",20%
97873898713,Pedro,González Fernández,28,"0,2",10%,"0,9",20%,"3,9",30%,"3,5",20%,"3,3",20%
21446837973,Juan Valentina,Sánchez Hernández,28,"0,8",10%,"2,9",20%,"3,1",30%,"2,2",20%,"0,8",20%
64271266109,Sofía Diego,Gómez Pérez,25,"3,4",10%,"0,2",20%,"3,2",30%,0,20%,3,20%
41909550361,Sofía,Pérez Rodríguez,20,"1,4",10%,5,20%,"1,2",30%,2,20%,5,20%
92783099340,Diego Carlos,Rodríguez Rodríguez,27,"0,1",10%,"2,4",20%,"1,9",30%,"0,3",20%,"2,5",20%
80184273905,Valentina Juan,Gómez Pérez,24,"2,7",10%,"3,6",20%,"0,8",30%,4,20%,3,20%
90093953563,Juan,Hernández Rodríguez,26,"2,8",10%,"1,2",20%,"0,9",30%,"1,2",20%,"4,2",20%
64407334205,Diego,Rodríguez López,24,"3,6",10%,"4,3",20%,2,30%,"0,1",20%,5,20%
47901568950,Ana,Sánchez Sánchez,27,3,10%,"3,6",20%,"0,7",30%,"1,6",20%,"3,6",20%
04212372127,Ana Diego,Gómez Pérez,20,"1,4",10%,"0,4",20%,"3,6",30%,4,20%,"4,2",20%
02979643409,Juan,Martínez Pérez,26,"1,4",10%,"4,7",20%,5,30%,"3,1",20%,"0,4",20%
34894217807,Ana Luis,Hernández Gómez,21,"3,4",10%,1,20%,5,30%,"4,2",20%,"0,1",20%
52317827513,Sofía,González Martínez,19,"4,2",10%,"1,3",20%,"0,7",30%,"1,9",20%,2,20%
64557221646,Luis,González Gómez,27,"2,2",10%,3,20%,"1,9",30%,"3,3",20%,0,20%
68475096885,Lucía Ana,Sánchez García,24,"1,3",10%,"4,2",20%,"2,4",30%,"0,7",20%,"1,2",20%
97759645332,Ana Lucía,Martínez Martínez,27,"4,4",10%,"2,8",20%,"4,5",30%,"4,2",20%,"2,1",20%
37648806704,María,González Fernández,21,"3,2",10%,"4,8",20%,1,30%,"1,2",20%,"2,3",20%
25823362934,Valentina,Pérez Gómez,20,"1,7",10%,"3,2",20%,"0,5",30%,"0,3",20%,"4,8",20%
15971880304,Pedro María,Martínez Hernández,18,"0,6",10%,"0,5",20%,"4,7",30%,"2,2",20%,"1,9",20%
54477221292,Diego Ana,Hernández Gómez,24,"4,4",10%,"4,3",20%,0,30%,"1,9",20%,"3,4",20%
38513859311,Sofía Lucía,Gómez Pérez,24,"1,1",10%,3,20%,"3,1",30%,"2,9",20%,"3,2",20%
14944684460,Luis Valentina,Fernández Sánchez,22,"0,8",10%,"4,7",20%,"0,3",30%,"4,3",20%,"2,6",20%
96994462397,Luis,Hernández García,27,"1,5",10%,"4,8",20%,"3,3",30%,"2,7",20%,"2,1",20%
75240123132,María María,López López,19,"1,8",10%,1,20%,"1,8",30%,"0,6",20%,"1,1",20%
24076273316,Diego Valentina,Rodríguez Sánchez,27,"2,6",10%,"4,7",20%,"4,7",30%,0,20%,"0,5",20%
44501168396,Ana Luis,González Pérez,28,"0,4",10%,"4,1",20%,"0,1",30%,"0,5",20%,"3,7",20%
53009636676,Carlos,Sánchez Gómez,20,"2,3",10%,"3,5",20%,"4,7",30%,"2,2",20%,"0,7",20%
95677536761,Carlos Sofía,García Gómez,27,"0,3",10%,"1,3",20%,5,30%,"3,9",20%,"2,8",20%
85033641901,Ana Lucía,García Pérez,25,"3,1",10%,"1,8",20%,"4,7",30%,1,20%,"4,3",20%
73645617140,Valentina Juan,González Martínez,25,"0,6",10%,"3,6",20%,"1,6",30%,"4,7",20%,"0,7",20%
06508397800,Juan Lucía,Martínez González,22,"0,7",10%,"1,3",20%,"2,4",30%,"1,8",20%,5,20%
87064232178,María,García González,19,"3,8",10%,"4,7",20%,"0,2",30%,"1,2",20%,"4,9",20%
41117492041,Ana Valentina,Rodríguez González,25,"1,7",10%,"1,7",20%,"2,9",30%,"1,9",20%,"1,1",20%
43995845647,Diego,González Martínez,18,"3,5",10%,"0,9",20%,"3,8",30%,"1,4",20%,"0,2",20%
80262555175,Pedro,Hernández González,20,"0,4",10%,"1,7",20%,"2,3",30%,"4,9",20%,"0,1",20%
77686652314,Pedro,López Hernández,18,"4,5",10%,"1,7",20%,"1,6",30%,0,20%,"0,8",20%
04494742595,Valentina Pedro,Hernández Rodríguez,28,"4,3",10%,"2,7",20%,"3,8",30%,2,20%,"4,8",20%
36182356448,Juan Lucía,Hernández Martínez,28,"2,3",10%,"4,6",20%,"4,1",30%,5,20%,4,20%
50741803449,Sofía,Pérez Hernández,23,"2,9",10%,"3,7",20%,"2,7",30%,3,20%,"4,1",20%
49582081341,Valentina María,Hernández González,19,"1,8",10%,"3,3",20%,"2,1",30%,"0,6",20%,"3,6",20%
44280710482,Luis Luis,García Fernández,25,"2,8",10%,"3,4",20%,0,30%,"3,4",20%,"4,1",20%
77643015109,Sofía,Pérez Fernández,24,"0,3",10%,"1,7",20%,1,30%,"3,3",20%,"4,5",20%
44003276230,Valentina,González Fernández,26,"3,9",10%,"4,6",20%,"0,5",30%,"1,4",20%,"2,1",20%
74974523487,Pedro María,López Pérez,26,"2,8",10%,"4,7",20%,"3,9",30%,"2,9",20%,"4,2",20%
46388636230,Pedro Juan,González Martínez,18,"0,6",10%,"2,6",20%,"2,3",30%,"0,4",20%,"1,2",20%
84372791889,Juan Sofía,Gómez Pérez,18,"4,3",10%,"3,3",20%,"2,6",30%,"0,9",20%,5,20%
90846878584,Ana Lucía,Rodríguez Gómez,23,"0,7",10%,"3,3",20%,"0,2",30%,"2,3",20%,"0,4",20%
41962137882,Lucía Ana,Gómez Fernández,21,0,10%,"0,1",20%,"4,7",30%,2,20%,"0,1",20%
76288640470,Pedro,González López,28,"3,8",10%,"3,8",20%,"3,3",30%,"4,6",20%,"1,1",20%
19980570738,Luis,Fernández Gómez,27,"0,4",10%,"4,3",20%,"2,5",30%,"4,8",20%,"2,8",20%
88376129063,María,Pérez Hernández,21,3,10%,"3,5",20%,"2,6",30%,"4,8",20%,"2,2",20%
01152374222,Sofía,Pérez García,25,"1,2",10%,"2,5",20%,3,30%,"4,8",20%,"2,8",20%
76604703955,Sofía,Martínez Martínez,26,"2,8",10%,"4,1",20%,"4,4",30%,"0,4",20%,"1,1",20%
36260663094,Pedro,Rodríguez Martínez,20,"3,9",10%,"3,5",20%,"4,9",30%,"1,1",20%,"3,5",20%
77282585310,Sofía,López Gómez,22,"1,5",10%,"3,3",20%,"3,1",30%,5,20%,"1,2",20%
87617337343,Carlos,Rodríguez Gómez,19,"2,9",10%,"2,9",20%,"1,1",30%,2,20%,"1,4",20%
80226941283,Diego Luis,Martínez Sánchez,19,"4,4",10%,"1,4",20%,"0,4",30%,"4,7",20%,4,20%
62546411155,Lucía,Pérez López,19,"2,9",10%,"2,7",20%,"1,5",30%,"3,4",20%,"2,7",20%
30258982269,Luis Valentina,Martínez González,21,"4,8",10%,"3,9",20%,5,30%,0,20%,2,20%
11997478407,Carlos Carlos,García Hernández,19,"1,3",10%,"1,1",20%,"2,8",30%,4,20%,2,20%
09231600515,Carlos Lucía,Pérez Gómez,20,"2,2",10%,"0,2",20%,"1,7",30%,"2,2",20%,"2,2",20%
95074575950,Diego Ana,López López,22,"2,5",10%,"3,9",20%,"4,9",30%,"3,6",20%,"4,1",20%
62569653786,María Pedro,González Hernández,22,"2,3",10%,"4,9",20%,3,30%,"2,6",20%,"4,1",20%
39335660289,Sofía Diego,Rodríguez López,24,"4,5",10%,"4,5",20%,"1,4",30%,"3,8",20%,"1,9",20%
41100682743,Diego,Martínez Pérez,21,"4,8",10%,"0,2",20%,"1,8",30%,"4,4",20%,"4,1",20%
46305568319,Valentina,Hernández González,21,"3,6",10%,"4,9",20%,"0,9",30%,2,20%,"1,6",20%
97001961475,Luis Ana,García González,21,"2,8",10%,"3,8",20%,5,30%,"4,4",20%,"1,1",20%
69527658484,Diego Juan,Rodríguez Pérez,28,"1,3",10%,1,20%,"0,9",30%,"0,7",20%,5,20%
80614589649,Ana Ana,Sánchez Fernández,28,"4,7",10%,"4,3",20%,"0,8",30%,"2,4",20%,"0,8",20%
27261703827,Ana Sofía,Fernández García,18,"0,9",10%,"3,8",20%,"2,6",30%,"0,4",20%,"1,8",20%
01118706550,Diego Diego,Hernández Pérez,25,"0,7",10%,"4,4",20%,"4,4",30%,"3,6",20%,"1,7",20%
33931090809,Pedro María,Pérez Fernández,21,"3,3",10%,"0,9",20%,"1,8",30%,1,20%,"4,4",20%
08107472698,Sofía,Sánchez Rodríguez,24,"4,8",10%,"4,2",20%,"4,5",30%,"1,5",20%,"4,5",20%
82584312743,Carlos,Pérez Martínez,22,1,10%,"0,9",20%,"4,8",30%,1,20%,0,20%
21197763461,Juan Carlos,Rodríguez González,24,1,10%,0,20%,"3,9",30%,"2,2",20%,5,20%
26375098076,Carlos Luis,González Martínez,22,"4,3",10%,"2,5",20%,"2,4",30%,"4,7",20%,"2,9",20%
55466552458,María,Martínez Gómez,19,"1,3",10%,"1,4",20%,"0,9",30%,"4,4",20%,"1,7",20%
80915632832,Sofía Sofía,Fernández Pérez,27,"4,1",10%,"3,7",20%,"0,5",30%,"2,7",20%,"2,4",20%
60554322862,María María,Hernández García,28,"2,4",10%,"4,7",20%,"4,3",30%,"0,4",20%,"4,1",20%
22589669089,Diego,González Martínez,26,"1,5",10%,"4,2",20%,"2,1",30%,"3,4",20%,"2,2",20%
41541909953,Ana Valentina,Rodríguez Rodríguez,19,"2,6",10%,"2,4",20%,"1,1",30%,"4,2",20%,5,20%
49578636061,Valentina,López Hernández,18,"4,6",10%,5,20%,"0,2",30%,"2,1",20%,"0,1",20%
92809939422,Diego,Rodríguez Pérez,26,"3,2",10%,"0,9",20%,"3,2",30%,"4,8",20%,"1,2",20%
21604438259,Carlos Diego,Gómez Gómez,26,"0,7",10%,2,20%,"3,9",30%,3,20%,"3,4",20%
67232658029,Valentina,Sánchez González,19,"0,1",10%,"2,3",20%,"0,7",30%,"4,9",20%,"0,1",20%
25603332803,Luis,Rodríguez Hernández,19,"3,2",10%,"3,3",20%,"4,5",30%,"0,5",20%,3,20%
00739908847,Carlos Pedro,González García,27,"0,8",10%,"4,4",20%,"4,3",30%,"1,4",20%,"1,8",20%
90622911578,Pedro Diego,Fernández Rodríguez,23,"1,2",10%,"1,5",20%,"3,1",30%,"3,5",20%,"3,7",20%
15062228512,Pedro,Pérez Pérez,27,"3,3",10%,"1,5",20%,"1,1",30%,"2,1",20%,3,20%
99008916658,Pedro Sofía,Rodríguez Martínez,20,"1,5",10%,"1,2",20%,"4,9",30%,"2,6",20%,"2,6",20%
23119419161,Ana,Martínez García,22,"2,7",10%,"4,3",20%,"4,1",30%,"1,5",20%,"3,9",20%
68027002160,Carlos Valentina,Pérez López,26,"1,1",10%,"4,7",20%,"2,7",30%,"0,8",20%,"2,6",20%
90898693405,Valentina,López Sánchez,19,"4,9",10%,"4,3",20%,"3,2",30%,"2,2",20%,"4,4",20%
73617838290,María,Pérez Fernández,26,"4,2",10%,"4,1",20%,"2,3",30%,"4,9",20%,"3,1",20%
49085052273,Diego Carlos,Martínez Gómez,28,"1,5",10%,"2,6",20%,"3,3",30%,"3,2",20%,"0,5",20%
93598189528,Lucía,Hernández Pérez,26,"3,8",10%,"3,6",20%,"4,9",30%,"0,1",20%,"2,2",20%
38673632330,Luis Luis,Hernández Pérez,27,"2,2",10%,"4,9",20%,"2,4",30%,"1,7",20%,"4,6",20%
33626429118,Luis,González García,23,"3,7",10%,"0,9",20%,0,30%,"3,1",20%,1,20%
50009694695,Diego Lucía,Fernández López,22,"3,1",10%,"0,2",20%,"4,8",30%,"0,6",20%,"0,6",20%
75269868611,Valentina Ana,García Hernández,18,"2,5",10%,3,20%,"2,1",30%,"3,8",20%,"4,5",20%
10259076625,Diego,Pérez López,23,"1,9",10%,"1,8",20%,"0,1",30%,"2,2",20%,"4,1",20%
39276867631,Pedro,Gómez García,22,"0,4",10%,"2,9",20%,"4,9",30%,"1,3",20%,"4,4",20%
22710385932,Valentina Luis,López García,19,"4,4",10%,"3,8",20%,"2,1",30%,"2,3",20%,"2,6",20%
25561330744,Pedro,García Sánchez,23,"2,5",10%,"1,7",20%,"2,6",30%,"3,7",20%,"0,2",20%
69654733276,Diego,García Martínez,19,3,10%,"2,8",20%,"4,4",30%,"3,3",20%,"4,8",20%
73445889056,Sofía Pedro,Fernández Hernández,27,"1,4",10%,"2,6",20%,"4,3",30%,"4,9",20%,"3,7",20%
55474369393,Pedro Pedro,Rodríguez Fernández,20,"0,3",10%,"2,7",20%,"3,3",30%,"3,7",20%,"0,3",20%
20860175606,Diego Ana,García García,24,"1,9",10%,"4,1",20%,"3,1",30%,"4,1",20%,"3,2",20%
42850775513,Diego,Martínez Martínez,22,"0,8",10%,"0,2",20%,"0,6",30%,"1,1",20%,4,20%
29934576952,Valentina Valentina,Rodríguez Martínez,19,3,10%,"0,6",20%,"4,8",30%,"1,9",20%,"0,7",20%
88331061213,Ana María,Gómez Pérez,24,"4,3",10%,"1,5",20%,"1,8",30%,"1,8",20%,"2,6",20%
12200366362,Sofía Luis,Fernández Rodríguez,27,"1,7",10%,"1,1",20%,"0,8",30%,"0,7",20%,"1,4",20%
32263998145,Luis,Gómez Sánchez,28,"1,6",10%,"1,4",20%,"3,4",30%,"2,8",20%,"4,3",20%
35208088839,María,González Rodríguez,18,4,10%,"4,7",20%,0,30%,"1,9",20%,"0,2",20%
76191027640,Ana,Rodríguez Pérez,22,"0,7",10%,"4,7",20%,"1,7",30%,"3,2",20%,"3,4",20%
31054786479,Diego Luis,González González,22,"0,4",10%,"2,4",20%,"1,8",30%,4,20%,"1,3",20%
59129767797,Carlos,Martínez González,22,"4,4",10%,"0,9",20%,2,30%,"4,5",20%,"1,5",20%
86980406611,Juan,Fernández García,19,"2,8",10%,"4,8",20%,"0,6",30%,"2,2",20%,"0,5",20%
41778526145,Diego,García García,26,"0,1",10%,"2,5",20%,"1,2",30%,"2,4",20%,"1,2",20%
10200550505,Juan,Rodríguez Fernández,19,"0,2",10%,"4,5",20%,"1,3",30%,"2,7",20%,"3,8",20%
08915642260,Juan Diego,Sánchez Pérez,25,"4,2",10%,"1,7",20%,"2,3",30%,"0,3",20%,"0,1",20%
04240670692,María Carlos,Hernández García,24,"1,9",10%,1,20%,"3,2",30%,"2,9",20%,"3,9",20%
56358576663,Diego,Fernández Rodríguez,26,"3,2",10%,"3,6",20%,4,30%,"2,7",20%,"3,1",20%
45636068548,Carlos,García Martínez,23,"4,7",10%,"4,6",20%,"2,1",30%,"0,3",20%,"3,5",20%
70766317969,Carlos,García Pérez,24,3,10%,"0,2",20%,"4,3",30%,"2,7",20%,"4,2",20%
72830639306,Diego Luis,Martínez Hernández,27,"0,5",10%,"2,3",20%,"0,1",30%,"1,2",20%,"4,6",20%
41038747399,Lucía Diego,Gómez Rodríguez,19,"0,5",10%,3,20%,"0,2",30%,"1,6",20%,"1,5",20%
11818020948,Juan Luis,Pérez Gómez,21,"0,1",10%,"0,9",20%,"3,5",30%,"2,6",20%,"4,3",20%
51600546477,María Pedro,Rodríguez Rodríguez,20,"2,3",10%,"2,7",20%,"0,3",30%,5,20%,"4,1",20%
57694920850,Diego,Rodríguez Hernández,25,"2,6",10%,"0,6",20%,"4,9",30%,"4,3",20%,1,20%
01395603658,Diego,Sánchez González,20,"0,1",10%,"1,4",20%,"4,1",30%,"3,3",20%,"0,9",20%
50029180194,Juan,Sánchez Hernández,24,"4,1",10%,"3,6",20%,"2,5",30%,"1,3",20%,"1,2",20%
85755818130,Valentina,González Hernández,26,"1,4",10%,"2,4",20%,"0,7",30%,"0,2",20%,"3,7",20%
36460519548,Juan Sofía,Fernández García,24,"2,3",10%,0,20%,"1,2",30%,"4,8",20%,4,20%
97305692832,Carlos Valentina,Hernández Hernández,19,"4,1",10%,"1,4",20%,"3,4",30%,"4,4",20%,"3,8",20%
47543395255,Ana,Rodríguez Fernández,26,"0,9",10%,1,20%,"4,7",30%,"1,1",20%,5,20%
67629794332,Pedro Juan,Hernández Fernández,23,"0,1",10%,"4,7",20%,"0,3",30%,4,20%,"2,9",20%
73376400251,Lucía Luis,López Rodríguez,25,"1,5",10%,"4,3",20%,"3,2",30%,"1,1",20%,"0,6",20%
34768738527,Ana Lucía,Pérez Sánchez,20,2,10%,"1,1",20%,"0,3",30%,5,20%,"4,7",20%
64635745110,Diego,Pérez Gómez,18,"4,4",10%,"3,2",20%,"1,6",30%,"1,8",20%,"0,2",20%
80320495872,Sofía Pedro,Fernández García,18,"4,5",10%,"1,7",20%,2,30%,"2,2",20%,"1,5",20%
98720271408,Pedro Ana,Gómez González,18,"3,1",10%,"0,4",20%,"2,4",30%,"2,2",20%,"4,5",20%
26445424409,Sofía,González López,26,"4,1",10%,"2,1",20%,"2,8",30%,"3,6",20%,"1,3",20%
84815277888,Ana María,Fernández García,25,"3,1",10%,"0,6",20%,"1,2",30%,"4,9",20%,"0,3",20%
55508330994,Sofía Valentina,Martínez Fernández,25,"1,9",10%,"2,7",20%,"2,2",30%,"1,2",20%,"3,8",20%
05702429367,Juan,González Fernández,23,"3,8",10%,"1,6",20%,"0,2",30%,"3,5",20%,"2,4",20%
38139678862,Juan,Rodríguez Rodríguez,19,"3,4",10%,"2,1",20%,"4,8",30%,"4,1",20%,"3,8",20%
71975796134,María,Hernández Gómez,21,"4,8",10%,"0,4",20%,"2,4",30%,"4,7",20%,"4,3",20%
35938963416,Valentina,García Rodríguez,24,"3,5",10%,"0,9",20%,3,30%,"1,7",20%,"1,7",20%
82066453245,Pedro,Fernández Rodríguez,26,"3,5",10%,"2,6",20%,"4,4",30%,"0,2",20%,"3,9",20%
00783974422,Valentina Luis,Gómez López,21,"3,9",10%,"0,1",20%,"1,8",30%,"3,8",20%,"1,3",20%
83970518867,Ana Luis,López Gómez,28,"2,1",10%,"2,3",20%,"0,2",30%,0,20%,"1,9",20%
74511318393,Luis Carlos,Pérez Martínez,27,"4,3",10%,"4,2",20%,"3,9",30%,"3,1",20%,1,20%
19982658132,Juan,Rodríguez Hernández,26,"0,8",10%,"0,9",20%,"3,2",30%,"2,6",20%,"4,5",20%
92885792491,Valentina Carlos,García González,22,"4,8",10%,"4,6",20%,"4,1",30%,"2,7",20%,"1,4",20%
08405762642,Carlos Sofía,Sánchez Sánchez,27,"0,2",10%,2,20%,"1,5",30%,5,20%,"3,1",20%
93582114941,Sofía Carlos,López García,21,"1,5",10%,"4,5",20%,"4,2",30%,5,20%,"1,4",20%
20214599245,Lucía,González Sánchez,21,"0,4",10%,"0,1",20%,"1,1",30%,"4,7",20%,"1,2",20%
84297520813,Juan,Martínez Pérez,28,"0,8",10%,"1,1",20%,2,30%,"3,4",20%,"4,3",20%
93861902856,Valentina,Sánchez Hernández,18,"1,4",10%,"3,7",20%,"1,9",30%,"2,4",20%,"1,9",20%
53381601304,Luis,Hernández Hernández,26,"0,5",10%,"2,8",20%,"3,8",30%,"0,1",20%,"2,6",20%
32214575310,Juan Luis,García Pérez,27,"4,2",10%,"4,7",20%,"1,7",30%,5,20%,"1,3",20%
71410872368,Pedro,Rodríguez López,20,"1,7",10%,"2,8",20%,"2,6",30%,"3,6",20%,2,20%
77595316476,Lucía,García Rodríguez,19,2,10%,"3,6",20%,"3,9",30%,"3,7",20%,"2,5",20%
86785273022,Diego Pedro,López García,26,"2,2",10%,"0,5",20%,"4,5",30%,0,20%,2,20%
41818041923,Valentina Luis,García López,25,"4,4",10%,"1,5",20%,"1,2",30%,"2,2",20%,"1,9",20%
07236870126,Carlos,López Sánchez,24,0,10%,"3,2",20%,"0,8",30%,"4,5",20%,"3,7",20%
36123404409,Sofía Carlos,Sánchez Gómez,23,"2,1",10%,"0,1",20%,"2,6",30%,"2,8",20%,1,20%
79735159689,Diego Lucía,Pérez Martínez,28,"4,1",10%,"0,9",20%,"0,5",30%,"0,7",20%,"3,7",20%
96739888553,Valentina Luis,García González,22,"2,7",10%,2,20%,"4,7",30%,"1,2",20%,"0,2",20%
09826505554,Pedro,García González,26,"0,6",10%,"3,6",20%,"2,9",30%,"4,4",20%,"2,9",20%
97608873473,Diego,Fernández Fernández,25,"4,5",10%,"3,7",20%,"3,6",30%,"2,1",20%,"0,7",20%
06103198719,Juan,Gómez Pérez,27,"2,1",10%,"2,8",20%,"1,4",30%,"3,4",20%,"1,5",20%
85399110696,Carlos Carlos,Rodríguez Hernández,21,"0,1",10%,"2,6",20%,"2,7",30%,"2,2",20%,"0,3",20%
